Model,No text,NLP
CatBoost,84.56375838926175,83.22147651006712
ExtraTrees-Entr,67.78523489932886,67.78523489932886
ExtraTrees-Gini,68.45637583892618,67.4496644295302
KNN-Dist,82.21476510067114,76.1744966442953
KNN-Unif,79.53020134228188,74.83221476510067
LightGBM,84.22818791946308,83.89261744966443
LightGBM-Large,88.25503355704699,85.90604026845638
LightGBM-XT,83.22147651006712,83.89261744966443
RForest-Ent,80.87248322147651,80.20134228187919
RForest-Gini,80.20134228187919,80.20134228187919
XGBoost,84.8993288590604,84.22818791946308
Ensemble,86.57718120805369,86.24161073825503
