Model,No text,NLP
CatBoost,82.88590604026845,83.55704697986577
ExtraTrees-Entr,67.11409395973155,66.77852348993288
ExtraTrees-Gini,67.4496644295302,66.10738255033557
KNN-Dist,80.20134228187919,74.49664429530202
KNN-Unif,76.84563758389261,72.48322147651007
LightGBM,84.56375838926175,83.55704697986577
LightGBM-Large,86.57718120805369,84.56375838926175
LightGBM-XT,85.23489932885906,84.22818791946308
RForest-Ent,80.87248322147651,81.20805369127517
RForest-Gini,80.87248322147651,81.20805369127517
XGBoost,85.90604026845638,83.89261744966443
Ensemble,84.8993288590604,86.24161073825503
