iter	Logloss
0	0.6557158032
1	0.6225342409
2	0.5915380261
3	0.5748054969
4	0.5560305211
5	0.5364112857
6	0.5252343996
7	0.5109030031
8	0.4980467136
9	0.4868355286
10	0.4741092655
11	0.4629089022
12	0.4541618453
13	0.4442573273
14	0.4357393795
15	0.4257850681
16	0.4164610903
17	0.4075912932
18	0.398839455
19	0.3878382502
20	0.3832109249
21	0.3792499463
22	0.3753108521
23	0.3691867407
24	0.3615079673
25	0.3575627797
26	0.3499059626
27	0.3453569381
28	0.3395291602
29	0.3341924009
30	0.3298784482
31	0.3251455693
32	0.320597646
33	0.3155939072
34	0.3092473041
35	0.3059258264
36	0.3018959062
37	0.2985012246
38	0.2927944893
39	0.2880383919
40	0.2839540299
41	0.2815083803
42	0.2785620794
43	0.2738122255
44	0.2700846474
45	0.2672383544
46	0.2632865918
47	0.261004531
48	0.2583377611
49	0.2547759616
50	0.2523378354
51	0.2472903344
52	0.2458167615
53	0.243060548
54	0.240187315
55	0.2368877156
56	0.2346252236
57	0.2328400913
58	0.2304567976
59	0.2271731781
60	0.225408305
61	0.2232647147
62	0.2199715034
63	0.2168631126
64	0.215391398
65	0.2122808074
66	0.2106679025
67	0.2067772435
68	0.2038592353
69	0.2023845295
70	0.1996550209
71	0.1981657738
72	0.1950605321
73	0.1923813723
74	0.187859834
75	0.1840155188
76	0.1813034952
77	0.1796046109
78	0.1765807461
79	0.1735860777
80	0.1718668692
81	0.1682686523
82	0.1656606089
83	0.1632919709
84	0.161650033
85	0.1576473774
86	0.1546081624
87	0.1531355248
88	0.1526680868
89	0.1517130687
90	0.1503583492
91	0.1487789625
92	0.1460301942
93	0.1456460695
94	0.1425758714
95	0.1408266305
96	0.1378860576
97	0.1360140829
98	0.1339323905
99	0.1318800443
