iter	Passed	Remaining
0	3	373
1	7	370
2	11	357
3	14	339
4	17	338
5	20	327
6	24	326
7	27	318
8	30	311
9	33	305
10	36	296
11	40	293
12	43	290
13	46	284
14	49	279
15	52	273
16	55	271
17	58	267
18	61	261
19	64	257
20	67	253
21	70	249
22	73	246
23	76	241
24	79	238
25	82	235
26	85	230
27	88	227
28	91	224
29	94	220
30	97	217
31	100	213
32	103	211
33	106	207
34	109	203
35	113	201
36	116	198
37	120	196
38	123	193
39	126	189
40	129	186
41	132	183
42	136	180
43	139	177
44	142	174
45	145	171
46	148	167
47	151	164
48	154	161
49	157	157
50	161	154
51	164	151
52	167	148
53	171	146
54	174	142
55	178	140
56	180	136
57	184	133
58	187	130
59	190	126
60	193	123
61	196	120
62	199	117
63	202	113
64	205	110
65	208	107
66	211	104
67	214	100
68	217	97
69	220	94
70	224	91
71	227	88
72	229	85
73	233	81
74	236	78
75	240	75
76	243	72
77	246	69
78	249	66
79	252	63
80	256	60
81	259	57
82	262	53
83	266	50
84	269	47
85	272	44
86	275	41
87	279	38
88	282	34
89	284	31
90	288	28
91	291	25
92	293	22
93	297	18
94	301	15
95	304	12
96	307	9
97	310	6
98	313	3
99	316	0
