Rating,Name,Symbol,Rating Agency Name,Date,Sector,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,netProfitMargin,pretaxProfitMargin,grossProfitMargin,operatingProfitMargin,returnOnAssets,returnOnCapitalEmployed,returnOnEquity,assetTurnover,fixedAssetTurnover,debtEquityRatio,debtRatio,effectiveTaxRate,freeCashFlowOperatingCashFlowRatio,freeCashFlowPerShare,cashPerShare,companyEquityMultiplier,ebitPerRevenue,enterpriseValueMultiple,operatingCashFlowPerShare,operatingCashFlowSalesRatio,payablesTurnover,Negative,Positive,Uncertainty,Litigious,Strong_Modal,Weak_Modal,Constraining,Readability
A,Whirlpool Corporation,WHR,Egan-Jones Ratings Company,11/27/2015,Consumer Durables,0.945893595,0.426394628,0.099690083,44.20324542,0.037480255,0.049351395,0.176631085,0.061509741,0.041188848,0.091514291,0.165085389,1.098947922,5.535506094,3.008011807,0.750499737,0.20271581,0.43755102,6.810673443,9.809402795,4.008011807,0.049351395,7.05708807,15.56543837,0.058637691,3.906654554,1.514332071,1.04561024,1.820804038,1.225887867,0.216333153,0.450694069,0.946457545,10.72
BBB,Whirlpool Corporation,WHR,Egan-Jones Ratings Company,2/13/2014,Consumer Durables,1.033559023,0.498233736,0.2031204,38.99115563,0.044062017,0.048857158,0.175715275,0.0665459,0.053203809,0.1048,0.167952884,1.207475553,6.1719829,2.156783103,0.683221822,0.074154853,0.54199683,8.625472888,17.40226986,3.156783103,0.048857158,6.460618222,15.91424968,0.067238532,4.002846054,2.379139703,0.875523411,1.617814998,1.427483822,0.209364294,0.39969547,0.590026646,10.31
BBB,Whirlpool Corporation,WHR,Fitch Ratings,03-06-2015,Consumer Durables,0.963703439,0.451505415,0.12209925,50.84138486,0.03270934,0.044333736,0.170843398,0.059782609,0.03249675,0.075954824,0.133060389,0.99350065,4.991710625,3.09457523,0.755774423,0.214528944,0.513184584,9.69348659,13.10344828,4.09457523,0.044333736,10.49197025,18.88888889,0.074426329,3.483509514,2.555910543,0.778753994,1.757188498,1.357827476,0.139776358,0.399361022,0.459265176,10.48
BBB,Whirlpool Corporation,WHR,Fitch Ratings,6/15/2012,Consumer Durables,1.019850723,0.510401779,0.176115611,41.16173792,0.020893603,-0.012857602,0.138058502,0.042430087,0.025690007,-0.027014858,0.09327912,1.22956327,6.017408124,2.630949534,0.724589948,1.816666667,-0.147169811,-1.015625,14.44010417,3.630949534,-0.012857602,4.080740741,6.901041667,0.028393871,4.581150342,2.580836547,1.27558588,1.483239395,1.216256304,0.148323939,0.355977455,0.504301394,11.19
BBB,Whirlpool Corporation,WHR,Standard & Poor's Ratings Services,10/24/2016,Consumer Durables,0.957843905,0.495432002,0.141607935,47.76112559,0.04286128,0.053769669,0.177719857,0.065353799,0.046363494,0.096945436,0.186046512,1.081710437,5.437795276,3.012780222,0.75079622,0.166965889,0.451371571,7.135348226,14.25755585,4.012780222,0.053769669,8.293504729,15.80814717,0.05806545,3.857789855,1.231846473,1.154045643,2.035788382,0.635373444,0.20746888,0.414937759,0.920643154,11.21
AA,Schlumberger N.V.,SLB,Egan-Jones Ratings Company,7/18/2014,Energy,1.741958239,1.317155756,0.220795711,83.93196789,0.11193907,0.15724578,0.230177028,0.15724578,0.081280641,0.144875588,0.143672391,0.72611503,3.15536503,0.767608983,0.43426402,0.252389056,0.644841447,5.574517375,5.792277992,1.767608983,0.15724578,9.83329498,8.644787645,0.230444627,4.044776119,2.78561354,0.705218618,0.846262341,0.176304654,0.070521862,0.070521862,0.282087447,11.03
AA,Schlumberger N.V.,SLB,Egan-Jones Ratings Company,5/13/2014,Energy,1.939001848,1.468909427,0.256709797,92.70545222,0.148720894,0.151173066,0.219480405,0.148720894,0.100327869,0.127727485,0.17056424,0.674605067,2.99854266,0.700068408,0.411788376,0.270056993,0.597159787,4.417989418,6.326530612,1.700068408,0.151173066,12.14037603,7.398337113,0.216232934,3.99807627,2.78561354,0.705218618,0.846262341,0.176304654,0.070521862,0.070521862,0.282087447,11.03
A,Schlumberger N.V.,SLB,Egan-Jones Ratings Company,7/23/2015,Energy,1.905814036,1.544791445,0.197790525,90.33685694,0.058407329,0.081212121,0.201663143,0.081212121,0.030468348,0.053466706,0.058148346,0.52165282,2.644427879,0.908483709,0.476023822,0.258937869,0.72629188,5.047355959,10.28729282,1.908483709,0.081212121,15.26456244,6.949486977,0.24820296,3.665199948,2.623783326,0.677105375,1.100296234,0.126957258,0.21159543,0.084638172,0.338552687,12.41
AA,Honeywell International Inc.,HON,Egan-Jones Ratings Company,4/29/2014,Capital Goods,1.492419434,1.129821592,0.45285946,74.10280374,0.100473691,0.138573806,0.273742158,0.138573806,0.086365137,0.173161835,0.224652201,0.859579619,7.399583175,1.601190817,0.615560691,0.267923134,0.781545559,4.308240081,10.29120041,2.601190817,0.138573806,10.89799844,5.512461851,0.110997311,5.482025512,0.792316927,0.696278511,0.672268908,0.31212485,0.144057623,0.072028812,0.144057623,16.09
A,Honeywell International Inc.,HON,Moody's Investors Service,2/16/2016,Capital Goods,1.091557346,0.850960753,0.296935387,76.39446878,0.123584148,0.170705788,0.306731293,0.170705788,0.096682618,0.212829213,0.260788711,0.782322167,6.664536189,1.697369141,0.629268392,0.264044944,0.80326366,5.618107207,9.692228777,2.697369141,0.170705788,10.36290293,6.994101052,0.141364921,4.793369176,1.289437586,1.015089163,0.932784636,0.274348422,0.082304527,0.164609053,0.274348422,14.95
AA,Honeywell International Inc.,HON,Egan-Jones Ratings Company,4/21/2015,Capital Goods,1.502132268,1.155080214,0.471062073,72.08356076,0.105170446,0.144345755,0.281570982,0.144345755,0.093265275,0.189647304,0.240074758,0.88680117,7.487646294,1.574106587,0.611515698,0.255929873,0.782245223,5.010198878,11.6063233,2.574106587,0.144345755,10.84723821,6.404895461,0.124646455,5.397390494,1.339443074,0.91646105,0.951709552,0.281988016,0.070497004,0.211491012,0.281988016,16.21
A,Sysco Corporation,SYY,Egan-Jones Ratings Company,06-01-2015,Consumer Non-Durables,1.529885086,0.872729375,0.094569824,26.66848519,0.020025771,0.031722448,0.175873028,0.034119393,0.070742447,0.167678448,0.176872403,3.532570522,11.67114159,1.50023022,0.600036832,0.368719267,0.649517187,1.654656513,0.704870988,2.50023022,0.031722448,11.07454219,2.547517673,0.032092015,13.54125674,1.028571429,1.111688312,0.820779221,0.322077922,0.124675325,0.27012987,0.311688312,8.5
A,Sysco Corporation,SYY,Egan-Jones Ratings Company,06-05-2014,Consumer Non-Durables,1.655630865,0.958956675,0.109963721,26.16087263,0.022346306,0.034843775,0.177153177,0.03734366,0.078366326,0.173585323,0.191152411,3.506902943,11.16401216,1.439216189,0.590032239,0.358671496,0.661376004,1.696192263,0.699502094,2.439216189,0.034843775,10.61808439,2.564641371,0.034036299,14.83406982,1.378766988,0.738625172,1.526492023,0.403781761,0.38408509,0.512113453,0.413630097,10.02
BBB,Sysco Corporation,SYY,Egan-Jones Ratings Company,11-03-2015,Consumer Non-Durables,1.222848383,0.902528987,0.545771715,25.14308047,0.014107691,0.020709356,0.17566524,0.025253554,0.03817679,0.117367427,0.130559649,2.706097703,12.2247624,2.419869762,0.707591204,0.318776924,0.651021804,1.710355283,8.66455656,3.419869762,0.020709356,12.87360905,2.627185867,0.031952752,13.92432007,0.950274922,1.147501793,1.111642362,0.388477169,0.197226871,0.256992589,0.388477169,8.33
A,Sysco Corporation,SYY,Egan-Jones Ratings Company,05-07-2013,Consumer Non-Durables,1.777323672,1.067739637,0.201212532,25.54964061,0.026464374,0.042094443,0.181132773,0.044610432,0.092731509,0.205734188,0.239397102,3.50401299,10.91237567,1.581615525,0.612645651,0.371309561,0.441310231,1.054366556,1.17208801,2.581615525,0.042094443,8.484768281,2.389173153,0.033132348,15.70710519,1.295532935,1.017918735,1.303945487,0.462690334,0.370152267,0.429040128,0.487927989,8.66
A,Philip Morris International Inc,PM,Standard & Poor's Ratings Services,3/21/2016,Consumer Non-Durables,1.027167555,0.434355908,0.222085012,13.71935379,0.092993993,0.130094171,0.235820209,0.143732749,0.202409,0.517770598,-0.518951978,2.176581458,12.9187205,-3.563877982,1.390034162,0.279563183,0.877940242,4.457714655,2.520981278,-2.563877982,0.130094171,14.38546981,5.077469335,0.106416085,7.265321955,3.331949961,0.678840339,1.565186459,2.644216517,0.231220727,0.52172882,0.646232288,8.99
A,Philip Morris International Inc,PM,Standard & Poor's Ratings Services,07-04-2013,Consumer Non-Durables,0.987460448,0.381401617,0.126215868,17.57294231,0.107161154,0.103150108,0.259993252,0.168876282,0.22469084,0.391195147,-1.104300798,2.096756445,11.84737232,-5.914756631,1.203468874,0.444579043,0.881598421,5.508631319,1.637484587,-4.914756631,0.103150108,10.51663402,6.248458693,0.126641592,8.1711146,3.374895097,0.611437478,1.432681933,2.424769212,0.272749071,0.431602925,0.722335451,8.42
A,Philip Morris International Inc,PM,Standard & Poor's Ratings Services,02-12-2013,Consumer Non-Durables,0.974964739,0.412670428,0.175305595,16.92640161,0.113705374,0.167805874,0.271394054,0.178905069,0.233607645,0.628788612,-2.53164557,2.054499602,11.64680211,-11.83716916,1.09227502,0.295141295,0.887909988,4.943853428,2.028959811,-10.83716916,0.167805874,11.24123711,5.567966903,0.121729355,9.404351768,3.554907124,0.644082272,1.615543378,2.889474059,0.309586506,0.526652907,0.786420895,9.43
A,Philip Morris International Inc,PM,Egan-Jones Ratings Company,10/17/2014,Consumer Non-Durables,1.024616199,0.411527263,0.111302276,18.2440766,0.093538561,0.132948843,0.241317754,0.146081442,0.212947964,0.530510585,-0.593316969,2.276579419,13.19486081,-3.78620635,1.358910961,0.290798122,0.851014343,4.205619413,1.414431673,-2.78620635,0.132948843,12.08965452,4.941890166,0.096609492,8.40257649,2.316429212,0.547972502,1.529341437,0.866792866,0.219189001,0.348709774,0.876756003,7.18
