Model,No text,NLP
CatBoost,50.671140939597315,52.013422818791945
ExtraTrees-Entr,39.261744966442954,38.25503355704698
ExtraTrees-Gini,39.59731543624161,38.25503355704698
KNN-Dist,55.033557046979865,43.95973154362416
KNN-Unif,48.322147651006716,40.939597315436245
LightGBM,54.0268456375839,54.69798657718121
LightGBM-Large,61.07382550335571,58.38926174496645
LightGBM-XT,61.40939597315436,53.69127516778524
RForest-Ent,51.34228187919463,48.65771812080537
RForest-Gini,50.33557046979866,49.328859060402685
XGBoost,59.73154362416108,56.04026845637584
Ensemble,52.348993288590606,43.95973154362416
