Model,No text,NLP
CatBoost,55.369127516778526,52.348993288590606
ExtraTrees-Entr,38.59060402684564,37.58389261744966
ExtraTrees-Gini,38.25503355704698,37.91946308724832
KNN-Dist,50.671140939597315,41.61073825503356
KNN-Unif,48.65771812080537,36.91275167785235
LightGBM,52.013422818791945,53.355704697986575
LightGBM-Large,59.395973154362416,57.38255033557047
LightGBM-XT,58.38926174496645,54.0268456375839
RForest-Ent,49.664429530201346,48.32214765100672
RForest-Gini,52.348993288590606,48.99328859060403
XGBoost,57.38255033557047,52.013422818791945
Ensemble,51.67785234899329,47.651006711409394
